ranking_home,ranking_away,mean_points_per_match_tot_home,mean_points_per_match_tot_away,mean_points_per_match_in_location_home,mean_points_per_match_in_location_away,matches_won_tot_home,matches_won_tot_away,mean_shots_home,mean_shots_away,mean_shot_on_target_home,mean_shot_on_target_away,mean_fouls_home,mean_fouls_away,mean_yellow_cards_home,mean_yellow_cards_away,score_home,score_away,winners
0.0,6.0,3.75,0.25,4.5,0.5,1.0,0.0,19.0,13.5,9.25,4.25,11.5,10.0,1.0,1.5,6.0,0.0,H
6.0,1.0,0.5,3.25,0.5,3.5,0.0,1.0,15.5,15.75,3.0,6.0,16.25,11.0,1.25,2.0,1.0,3.0,A
4.0,4.0,0.75,1.0,1.5,1.0,0.25,0.5,10.0,10.75,2.5,3.25,9.5,16.25,2.0,1.5,0.0,2.0,A
2.0,3.0,1.75,2.0,2.5,2.0,0.5,0.6666666666666666,13.0,13.0,4.25,5.333333333333333,14.75,12.0,1.5,2.0,2.0,2.0,D
6.0,2.0,0.8,2.2,0.6666666666666666,2.0,0.2,0.8,10.4,13.4,2.8,5.4,12.2,10.6,3.4,1.6,1.0,1.0,D
1.0,7.0,1.8,0.2,2.3333333333333335,0.5,0.4,0.0,12.2,9.4,5.6,3.4,10.4,13.4,0.6,1.0,5.0,1.0,H
7.0,3.0,0.2,2.25,0.0,2.5,0.0,0.75,14.0,18.75,4.4,5.25,10.0,10.75,1.6,1.0,0.0,4.0,A
5.0,6.0,0.8,0.6,0.5,0.6666666666666666,0.4,0.2,12.0,15.2,3.2,3.6,17.2,15.0,1.8,1.6,0.0,1.0,A
3.0,5.0,1.0,1.0,1.6666666666666667,1.0,0.0,0.2,9.8,13.8,3.0,4.2,17.4,9.0,1.8,1.6,1.0,1.0,D
1.0,3.0,2.8,1.6,2.3333333333333335,1.6666666666666667,1.0,0.4,15.0,16.6,5.8,5.4,10.8,16.6,1.8,1.6,1.0,0.0,H
3.0,0.0,2.0,3.8,1.6666666666666667,3.3333333333333335,0.6,1.0,14.0,18.6,6.2,9.6,12.6,11.8,1.6,1.4,1.0,4.0,A
2.0,5.0,2.0,0.6,2.0,0.0,0.8,0.2,18.6,9.2,7.0,2.0,15.6,10.6,1.6,2.0,2.0,0.0,H
4.0,3.0,1.4,2.0,1.3333333333333333,1.6666666666666667,0.2,0.6,12.6,13.0,4.2,5.0,12.8,14.4,2.0,2.2,2.0,3.0,A
7.0,4.0,0.2,1.5,0.3333333333333333,1.3333333333333333,0.0,0.5,10.6,14.0,2.6,5.25,11.8,10.5,2.2,1.75,0.0,0.0,D
1.0,4.0,3.0,1.6666666666666667,2.75,1.25,1.0,0.5,16.333333333333332,11.833333333333334,6.5,4.333333333333333,11.666666666666666,14.0,1.6666666666666667,2.5,4.0,0.0,H
2.0,5.0,2.4,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.8,0.16666666666666666,18.6,12.833333333333334,5.8,4.333333333333333,10.4,12.333333333333334,0.8,1.8333333333333333,3.0,1.0,H
4.0,0.0,0.8333333333333334,3.6666666666666665,1.6666666666666667,3.25,0.16666666666666666,1.0,8.666666666666666,19.0,2.0,10.0,10.333333333333334,11.666666666666666,2.1666666666666665,1.3333333333333333,2.0,3.0,A
7.0,5.0,0.6666666666666666,1.1666666666666667,0.3333333333333333,1.25,0.3333333333333333,0.3333333333333333,12.5,14.166666666666666,3.1666666666666665,4.166666666666667,18.5,10.166666666666666,1.8333333333333333,1.6666666666666667,0.0,2.0,A
8.0,9.0,0.5,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.0,10.666666666666666,14.333333333333334,3.5,4.0,13.166666666666666,10.333333333333334,0.8333333333333334,1.3333333333333333,2.0,0.0,H
5.0,3.0,1.5,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,15.5,12.833333333333334,4.833333333333333,5.5,17.5,10.5,1.6666666666666667,1.3333333333333333,1.0,1.0,D
4.0,5.0,2.0,0.8333333333333334,2.0,0.0,0.8333333333333334,0.0,13.5,9.666666666666666,5.666666666666667,3.0,10.5,16.833333333333332,1.3333333333333333,1.8333333333333333,1.0,0.0,H
6.0,4.0,1.6,1.6666666666666667,2.0,1.3333333333333333,0.6,0.6666666666666666,13.6,16.5,5.0,5.833333333333333,11.0,15.833333333333334,1.4,1.6666666666666667,2.0,0.0,H
8.0,7.0,0.5,0.8333333333333334,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,14.0,10.0,3.5,3.0,14.333333333333334,12.666666666666666,1.8333333333333333,3.5,0.0,1.0,A
9.0,2.0,0.16666666666666666,2.1666666666666665,0.25,2.6666666666666665,0.0,0.6666666666666666,10.333333333333334,13.666666666666666,2.5,6.0,11.166666666666666,12.666666666666666,2.1666666666666665,1.6666666666666667,0.0,3.0,A
5.0,6.0,0.7142857142857143,0.8571428571428571,1.25,1.0,0.0,0.42857142857142855,10.857142857142858,9.714285714285714,3.5714285714285716,3.142857142857143,16.571428571428573,12.142857142857142,2.142857142857143,3.2857142857142856,0.0,1.0,A
2.0,6.0,1.7142857142857142,1.3333333333333333,2.0,1.0,0.2857142857142857,0.5,13.142857142857142,13.5,4.714285714285714,4.5,12.285714285714286,10.833333333333334,2.142857142857143,1.5,4.0,0.0,H
2.0,1.0,1.7142857142857142,2.857142857142857,2.25,3.0,0.2857142857142857,0.8571428571428571,12.0,16.285714285714285,5.142857142857143,6.714285714285714,12.142857142857142,11.571428571428571,1.5714285714285714,1.5714285714285714,2.0,2.0,D
10.0,3.0,0.2857142857142857,2.0,0.25,2.0,0.0,0.8571428571428571,13.857142857142858,14.714285714285714,3.7142857142857144,5.857142857142857,10.714285714285714,10.428571428571429,1.4285714285714286,1.5714285714285714,1.0,2.0,A
6.0,5.0,1.2857142857142858,1.4285714285714286,1.3333333333333333,1.5,0.42857142857142855,0.2857142857142857,14.0,16.428571428571427,4.428571428571429,4.714285714285714,10.142857142857142,16.428571428571427,1.7142857142857142,1.5714285714285714,2.0,1.0,H
1.0,8.0,2.7142857142857144,0.5714285714285714,2.75,0.75,0.7142857142857143,0.14285714285714285,14.857142857142858,13.142857142857142,7.0,3.857142857142857,12.714285714285714,13.428571428571429,1.7142857142857142,2.0,6.0,1.0,H
5.0,4.0,1.4285714285714286,2.3333333333333335,1.5,2.3333333333333335,0.5714285714285714,0.8333333333333334,16.571428571428573,17.333333333333332,5.428571428571429,5.833333333333333,15.714285714285714,10.0,1.8571428571428572,0.8333333333333334,0.0,2.0,A
0.0,8.0,3.5714285714285716,0.5714285714285714,4.0,0.75,1.0,0.2857142857142857,19.857142857142858,11.285714285714286,9.428571428571429,2.7142857142857144,10.857142857142858,17.285714285714285,1.1428571428571428,1.5714285714285714,3.0,0.0,H
5.0,9.0,0.8571428571428571,0.5714285714285714,1.5,0.6666666666666666,0.14285714285714285,0.14285714285714285,9.857142857142858,11.0,2.4285714285714284,3.5714285714285716,10.571428571428571,13.714285714285714,2.142857142857143,0.8571428571428571,1.0,1.0,D
4.0,9.0,1.7142857142857142,0.42857142857142855,2.3333333333333335,0.6666666666666666,0.42857142857142855,0.0,11.857142857142858,11.714285714285714,4.428571428571429,3.142857142857143,13.571428571428571,11.714285714285714,2.2857142857142856,2.4285714285714284,2.0,2.0,D
1.0,2.0,2.625,2.625,2.4,2.5,0.75,0.75,16.5,14.25,6.625,6.75,11.375,12.875,1.625,1.625,1.0,2.0,A
5.0,0.0,2.0,3.25,1.75,2.8,0.7142857142857143,1.0,16.285714285714285,19.375,5.285714285714286,9.0,10.285714285714286,10.625,1.0,1.25,0.0,1.0,A
8.0,6.0,1.0,0.875,1.0,0.25,0.5,0.125,10.25,9.5,3.0,2.375,13.125,11.0,3.125,2.125,2.0,1.0,H
9.0,7.0,0.75,1.0,0.75,0.75,0.25,0.125,11.375,11.75,3.25,4.5,16.75,16.25,1.625,1.875,2.0,3.0,A
8.0,5.0,0.75,1.75,0.8,1.4,0.125,0.375,10.75,13.0,3.5,5.0,13.875,12.75,0.875,2.0,2.0,2.0,D
6.0,4.0,1.5,1.625,1.5,1.25,0.375,0.25,16.0,12.5,4.875,4.375,15.75,12.5,1.5,2.0,2.0,1.0,H
3.0,6.0,2.125,1.5,2.25,1.5,0.875,0.5,14.75,17.125,5.875,5.5,11.25,15.25,2.125,1.875,3.0,2.0,H
5.0,3.0,1.5714285714285714,1.625,2.3333333333333335,1.0,0.5714285714285714,0.25,13.142857142857142,13.125,4.857142857142857,5.875,10.714285714285714,12.375,1.7142857142857142,1.75,3.0,1.0,H
9.0,7.0,0.5,1.125,0.25,1.0,0.125,0.375,13.75,13.375,3.875,4.125,12.75,10.75,2.0,1.5,0.0,0.0,D
10.0,11.0,0.5,0.25,0.4,0.25,0.125,0.0,11.875,13.125,3.125,3.375,12.125,10.875,2.625,1.625,1.0,0.0,H
0.0,3.0,2.888888888888889,1.8888888888888888,3.0,1.6,0.8888888888888888,0.7777777777777778,18.555555555555557,14.333333333333334,8.333333333333334,5.444444444444445,10.444444444444445,11.0,1.2222222222222223,2.0,0.0,0.0,D
1.0,8.0,2.0,0.6666666666666666,3.0,0.5,0.625,0.1111111111111111,12.25,10.444444444444445,4.875,3.3333333333333335,10.75,14.555555555555555,1.625,1.1111111111111112,5.0,0.0,H
